Date,Price
1613865600000,56001.2
1613952000000,57487.86
1614038400000,54123.4
1614124800000,48880.43
1614211200000,50624.84
1614297600000,46800.42
1614384000000,46340.31
1614470400000,46155.87
1614556800000,45113.92
1614643200000,49618.43
1614729600000,48356.04
1614816000000,50477.7
1614902400000,48448.91
1614988800000,48861.38
1615075200000,48881.59
1615161600000,51169.7
1615248000000,52299.33
1615334400000,54881.52
1615420800000,55997.23
1615507200000,57764
1615593600000,57253.28
1615680000000,61258.73
1615766400000,59133.47
1615852800000,55754.72
1615939200000,56872.38
1616025600000,58913
1616112000000,57665.9
1616198400000,58075.1
1616284800000,58085.8
1616371200000,57411.17
1616457600000,54204.96
1616544000000,54477.46
1616630400000,52508.23
1616716800000,51415.92
1616803200000,55074.47
1616889600000,55863.93
1616976000000,55783.71
1617062400000,57627.67
1617148800000,58730.13
1617235200000,58735.25
1617321600000,58736.92
1617408000000,59031.32
1617494400000,57076.49
1617580800000,58206.55
1617667200000,59054.1
1617753600000,58020.46
1617840000000,55947.27
1617926400000,58048.59
1618012800000,58102.58
1618099200000,59774
1618185600000,59964.87
1618272000000,59834.74
1618358400000,63554.44
1618444800000,62969.12
1618531200000,63252.63
1618617600000,61455.98
1618704000000,60087.09
1618790400000,56251.48
1618876800000,55703.14
1618963200000,56507.91
1619049600000,53808.8
1619136000000,51731.71
1619222400000,51153.13
1619308800000,50110.53
1619395200000,49075.58
1619481600000,54056.64
1619568000000,55071.46
1619654400000,54884.1
1619740800000,53584.15
1619827200000,57796.62
1619913600000,57857.5
1620000000000,56610.46
1620086400000,57213.33
1620172800000,53241.72
1620259200000,57473.23
1620345600000,56428.16
1620432000000,57380.27
1620518400000,58928.81
1620604800000,58280.73
1620691200000,55883.5
1620777600000,56750
1620864000000,49007.09
1620950400000,49702.27
1621036800000,49922.52
1621123200000,46736.58
1621209600000,46441.64
1621296000000,43596.24
1621382400000,42912.19
1621468800000,36964.27
1621555200000,40784.32
1621641600000,37280.35
1621728000000,37528.3
1621814400000,34754.54
1621900800000,38728.59
1621987200000,38410.5
1622073600000,39266.04
1622160000000,38445.29
1622246400000,35689.62
1622332800000,34647.67
1622419200000,35684.59
1622505600000,37310.54
1622592000000,36662.64
1622678400000,37585.24
1622764800000,39188.59
1622851200000,36885.51
1622937600000,35530.38
1623024000000,35816.17
1623110400000,33514.87
1623196800000,33450.19
1623283200000,37338.36
1623369600000,36704.57
1623456000000,37313.18
1623542400000,35494.9
1623628800000,39066.82
1623715200000,40525.8
1623801600000,40188.56
1623888000000,38324.87
1623974400000,38068.04
1624060800000,35729.82
1624147200000,35524.17
1624233600000,35592.35
1624320000000,31686.55
1624406400000,32447.59
1624492800000,33674.66
1624579200000,34639.38
1624665600000,31640.58
1624752000000,32160.91
1624838400000,34644.45
1624924800000,34456.67
1625011200000,35847.7
1625097600000,35047.36
1625184000000,33536.88
1625270400000,33856.86
1625356800000,34688.98
1625443200000,35309.3
1625529600000,33747.97
1625616000000,34211.01
1625702400000,33839.04
1625788800000,32877.41
1625875200000,33818.52
1625961600000,33515.57
1626048000000,34227.64
1626134400000,33158.25
1626220800000,32686.56
1626307200000,32814.61
1626393600000,31738.59
1626480000000,31421.25
1626566400000,31520.66
1626652800000,31783.49
1626739200000,30815.94
1626825600000,29790.24
1626912000000,32118.06
1626998400000,32297.89
1627084800000,33581.63
1627171200000,34279.34
1627257600000,35365.2
1627344000000,37318.14
1627430400000,39405.95
1627516800000,40002.53
1627603200000,40005.93
1627689600000,42214.15
1627776000000,41659.06
1627862400000,40000.46
1627948800000,39193.94
1628035200000,38138
1628121600000,39750.14
1628208000000,40882
1628294400000,42825.95
1628380800000,44634.13
1628467200000,43816.14
1628553600000,46333.46
1628640000000,45608.37
1628726400000,45611.46
1628812800000,44417.78
1628899200000,47833.98
1628985600000,47112.19
1629072000000,47056.41
1629158400000,45982.55
1629244800000,44648.57
1629331200000,44777.86
1629417600000,46734.65
1629504000000,49327.75
1629590400000,48932.02
1629676800000,49335.68
1629763200000,49523.5
1629849600000,47744.58
1629936000000,48972.09
1630022400000,46962.8
1630108800000,49056.86
1630195200000,48897.65
1630281600000,48806.78
1630368000000,47074.77
1630454400000,47155.87
1630540800000,48862.76
1630627200000,49329.01
1630713600000,50035.33
1630800000000,49947.38
1630886400000,51769.06
1630972800000,52677.4
1631059200000,46809.17
1631145600000,46078.38
1631232000000,46368.69
1631318400000,44847.48
1631404800000,45144.79
1631491200000,46059.12
1631577600000,44968.76
1631664000000,47072.12
1631750400000,48167.85
1631836800000,47785.26
1631923200000,47263.6
1632009600000,48259.45
1632096000000,47249.38
1632182400000,42901.56
1632268800000,40619.27
1632355200000,43604.76
1632441600000,44888.96
1632528000000,42815.56
1632614400000,42742.01
1632700800000,43182.63
1632787200000,42238.2
1632873600000,41011.16
1632960000000,41522.38
1633046400000,43757.81
1633132800000,48140.11
1633219200000,47727.1
1633305600000,48205.72
1633392000000,49143.95
1633478400000,51505.83
1633564800000,55343.76
1633651200000,53801.1
1633737600000,53867.3
1633824000000,55122.59
1633910400000,54625.74
1633996800000,57452.01
1634083200000,56242.94
1634169600000,57406.69
1634256000000,57397.74
1634342400000,61641.17
1634428800000,60948.78
1634515200000,61546.21
1634601600000,61971.59
1634688000000,64287.64
1634774400000,66063.56
1634860800000,62354.86
1634947200000,60697.06
1635033600000,61277.28
1635120000000,60884.18
1635206400000,63070.54
1635292800000,60345.17
1635379200000,58538.49
1635465600000,60587.09
1635552000000,62249.18
1635638400000,61731.29
1635724800000,61373.44
1635811200000,61029.5
1635897600000,63241.11
1635984000000,62954.86
1636070400000,61441.83
1636156800000,61072.32
1636243200000,61516.31
1636329600000,63293.22
1636416000000,67562.17
1636502400000,66954.11
1636588800000,64976.73
1636675200000,64838.81
1636761600000,64254.67
1636848000000,64420.94
1636934400000,65468.75
1637020800000,63584.25
1637107200000,60172.26
1637193600000,60381.35
1637280000000,56921.34
1637366400000,58133.02
1637452800000,59777.98
1637539200000,58755.9
1637625600000,56301.52
