country_code,country,year,cambio_lcu_usd,classe_trabalhadora,desemprego_pct,esperanca_de_vida,pib_per_capita_usd,populacao,usd_to_eur_master,pib_per_capita_eur,pop_abs_var,pib_pc_eur_abs_var,desemprego_abs_var,esperanca_de_vida_abs_var,pop_pc_crescimento,pib_pc_eur_crescimento,desemprego_absoluto,pib_crescimento_med_25y
AUT,Austria,1999,0.938283072395283,3874871.0,4.699,77.8756097560976,27078.7081612201,7992324.0,0.938283072395283,25407.493490004817,,,,,,,182080.0,
AUT,Austria,2000,1.08270508132602,3883391.0,4.687,78.1268292682927,24487.2974685956,8011566.0,1.08270508132602,26512.52139719024,19242.0,1105.0279071854238,-0.011999999999999567,0.2512195121950924,0.24075600538717712,4.3492204676550905,182015.0,4.3492204676550905
AUT,Austria,2001,1.11653308564462,3872867.0,4.007,78.5756097560976,24430.495982841,8042293.0,1.11653308564462,27277.457063549955,30727.0,764.9356663597137,-0.6800000000000006,0.4487804878049104,0.38353300715490146,2.8851864177685593,155186.0,3.617203442711825
AUT,Austria,2002,1.05755899623965,3955409.0,4.852,78.6780487804878,26334.862215032,8081957.0,1.05755899623965,27850.670450238733,39664.0,573.213386688778,0.8450000000000006,0.10243902439019337,0.49319267527307975,2.101417978051723,191916.0,3.111941621158458
AUT,Austria,2003,0.88404792718493,3985902.0,4.779,78.6317073170732,32110.1159661425,8121423.0,0.88404792718493,28386.881461536002,39466.0,536.2110112972696,-0.0730000000000004,-0.04634146341460621,0.48832232094280226,1.925307371882945,190486.0,2.8152830588395794
AUT,Austria,2004,0.803921647747618,3946112.0,5.969,79.1804878048781,36614.2506533707,8171966.0,0.803921647747618,29434.98871630207,50543.0,1048.107254766066,1.1900000000000004,0.5487804878049047,0.6223416758368572,3.6922240161753717,235543.0,2.990671250306738
AUT,Austria,2005,0.803800192161442,4012358.0,5.682,79.3317073170732,38157.37022862,8227829.0,0.803800192161442,30670.901522140044,55863.0,1235.9128058379756,-0.2869999999999999,0.1512195121950981,0.6835931524923122,4.198788108090845,227982.0,3.1920240599374226
AUT,Austria,2006,0.796432730949102,4078846.0,5.32,79.8804878048781,40382.2078298575,8268641.0,0.796432730949102,32161.71206368762,40812.0,1490.8105415475766,-0.3620000000000001,0.5487804878049047,0.49602392076937285,4.860667497730464,216995.0,3.4304016939078568
AUT,Austria,2007,0.729672399984083,4165230.0,4.909,80.1804878048781,46622.9622913635,8295487.0,0.729672399984083,34019.488789506606,26846.0,1857.7767258189851,-0.4110000000000005,0.29999999999999716,0.3246724582673277,5.776361414280928,204471.0,3.723646658954491
AUT,Austria,2008,0.679922680042729,4207426.0,4.198,80.4317073170732,51581.3982361071,8321496.0,0.679922680042729,35071.36252904524,26009.0,1051.8737395386343,-0.7109999999999994,0.25121951219510663,0.3135319240449741,3.091973974232931,176628.0,3.65346080509654
AUT,Austria,2009,0.716957702016136,4248651.0,5.371,80.3317073170732,47857.4446635266,8343323.0,0.716957702016136,34311.76355032642,21827.0,-759.5989787188228,1.173,-0.10000000000000853,0.2622965870559879,-2.1658667469498516,228195.0,3.0715280498919006
AUT,Austria,2010,0.754308990105961,4265488.0,4.883,80.5804878048781,46611.1393420232,8363404.0,0.754308990105961,35159.201444769744,20081.0,847.4378944433265,-0.48800000000000043,0.24878048780490758,0.2406834782735956,2.4698173651154898,208284.0,3.0168270785485904
AUT,Austria,2011,0.718413898653317,4291049.0,4.637,80.9829268292683,51116.8953522042,8391643.0,0.718413898653317,36723.08807703064,28239.0,1563.8866322608956,-0.24600000000000044,0.4024390243901905,0.33764959817796925,4.448015222181723,198976.0,3.136092757184685
AUT,Austria,2012,0.778338120416812,4340007.0,4.909,80.9365853658537,48250.4059142637,8429991.0,0.778338120416812,37555.13024865624,38348.0,832.0421716256024,0.27200000000000024,-0.046341463414592,0.45697844867804704,2.265719511061559,213051.0,3.069140969021367
AUT,Austria,2013,0.752945122701996,4382851.0,5.367,81.1365853658537,50305.3545774973,8479823.0,0.752945122701996,37877.17137492112,49832.0,322.0411262648777,0.4580000000000002,0.20000000000000284,0.5911275587364262,0.8575156686519536,235228.0,2.911167733280695
AUT,Austria,2014,0.752728196932603,4407077.0,5.674,81.490243902439,51314.9722616322,8546356.0,0.752728196932603,38626.22654614494,66533.0,749.055171223823,0.3070000000000004,0.3536585365853,0.7846036409014712,1.9775900470745844,250058.0,2.8489292208669545
AUT,Austria,2015,0.901296423367096,4460463.0,5.802,81.190243902439,43915.228020857,8642699.0,0.901296423367096,39580.63794654889,96343.0,954.4114004039511,0.12799999999999923,-0.30000000000001137,1.1272991670367993,2.4708895632447048,258796.0,2.8253017422655637
AUT,Austria,2016,0.903421436257263,4541001.0,6.064,81.6414634146342,45061.4993920192,8736668.0,0.903421436257263,40709.52450064377,93969.0,1128.8865540948755,0.26200000000000045,0.45121951219520895,1.0872645223442445,2.852118138215376,275366.0,2.826879177321435
AUT,Austria,2017,0.885205508269372,4567690.0,5.561,81.6439024390244,47163.7425775142,8797566.0,0.885205508269372,41749.60472021428,60898.0,1040.080219570511,-0.5030000000000001,0.0024390243901990516,0.6970391916002683,2.5548817686486647,254009.0,2.811768210172948
AUT,Austria,2018,0.846772667108111,4608423.0,4.933,81.6926829268293,51194.0749841299,8840521.0,0.846772667108111,43349.7434144443,42955.0,1600.1386942300232,-0.6280000000000001,0.04878048780490474,0.4882600482906341,3.832703818283756,227334.0,2.8655016632314116
